respondent_id,country,province,district,village,survey_date,interviewer_name,ke_survey_number,group_mgmt_personal.effect_yn_personal,group_mgmt_personal.benefits_personal,group_mgmt_personal.costs_personal,group_mgmt_personal.impact_personal,group_mgmt_community.effect_yn_community,group_mgmt_community.benefits_community,group_mgmt_community.costs_community,group_mgmt_community.impact_community,mgmt_who_most_positively,mgmt_who_most_negatively
1623,Kenya,Coast,Msambweni,Mkwiro,2017-02-19,Shikami Maureen,mcmkr027,yes,sometimes they patrol to arrest destructive fishers,the Bmu are not strict on destructive fishing and they gave out freezers and they are not working now,good,yes,they restrict destructive gears and boats have been boat,the boats which have been bought are not enough and those worn can't be repaired,good,their small efforts to block destructive gears have made fishers benefit by getting a lot of fish,for instance one is found wit fish which is not supposed to be fished the person will be in problems.
328,Kenya,Coast,Msambweni,Mkwiro,2017-02-19,Maureen Otieno,mcmkr028,no,fish spill over from the park,sometimes you can miss catch hence reduce income,good,no,attraction of tourist in the park areas have improved economy,restriction from the government to fish in restricted areas,neutral,leaders and community due to good leadership,unlawful people they dont want to involve themselves in protection
306,Kenya,Coast,Msambweni,Mkwiro,2017-02-19,Mohamed Khamis,mcmkr029,no,NA,NA,neutral,no,NA,NA,neutral,the rich- the whole community is getting income from fish in one way or the other,the whole community.if there is worse fishing activity then the whole community is affected
861,Kenya,Coast,Msambweni,Mkwiro,2017-02-19,Mohamed Hamisi,mcmkr030,no,i get good catch from the ocean,the economy is still worse,neutral,no,it has contributed in increase in the number of fish though not in great amount,none,neutral,fish dealers get a lot of income from our daily catch,fishers- we sell fish to fish dealers at small price and our living standards are still pathetic
551,Kenya,Coast,Msambweni,Mkwiro,2017-02-19,Mohamed Hamisi,mcmkr031,yes,there is good catch and i can manage my life,none,neutral,no,"the environment has started to be good again,they are breeding grounds for fish now and the community are getting good catch from the ocean",fishers getting less catch because of fisheries laws hindering them not fish certain type of fish,good,the government- they get bribe from fishers who have destructive gears,the fishers and the community at large- they dont have good income and because of hard living standards.
973,Kenya,Coast,Msambweni,Mkwiro,2017-02-19,Collins Katana,mcmkr032,no,NA,NA,NA,no,NA,NA,NA,fishers and Mkwiro community because we are belonging to this village and all the resources benefit us,none
1944,Kenya,Coast,Msambweni,Mkwiro,2017-02-19,Collins Katana,mcmkr033,no,NA,NA,NA,no,NA,NA,NA,fishers the benefit of the ocean is theres,none
2124,Kenya,Coast,Msambweni,Mkwiro,2017-02-19,Collins Katana,mcmkr034,no,NA,NA,NA,no,NA,NA,NA,resident of mkwiro and their relatives because they are direct beneficiaries of the good things in our village,none
638,Kenya,Coast,Msambweni,Mkwiro,2017-02-19,Maureen Otieno,mcmkr035,yes,there is surety of getting fish and other catch,no bad effect,good,yes,there is a lot of type of fish that are found in the sea,no any a bad effect due to good leadership,good,fish dealers and fishers because they get good income,none because they is good governance
1668,Kenya,Coast,Msambweni,Mkwiro,2017-02-19,Maureen Otieno,mcmkr036,no,it allows time for fish breeding thus no catching small fish,fishing in closed areas by some fishers,neutral,no,fish products are seen to increase,people are dont want to use adhere to rules and continue using destructive fishing methods,good,buyer- the buyers gets a lot of money,none
1371,Kenya,Coast,Msambweni,Mkwiro,2017-02-19,Shikami Maureen,mcmkr037,yes,we are not charged any amount for fishing,they should be working hard to make sure we have modern fishing gears and vessels,good,yes,restricting those destroying the ocean and conserving fish in closed areas for sometime,illegal fishers are prosecuted and then let scot free,good,those male fishers who use those boats bought by the county government,those who are found fishing in closed areas
1324,Kenya,Coast,Msambweni,Mkwiro,2017-02-20,Shikami Maureen,mcmkr038,yes,if there is an accident they will work hard to get the victims,the Bmu leaders don't have authority e.g arresting those who break the rules,neutral,yes,leaders are being scared if one is found with destructive gears will be jailed or fined,if fisheries don't put people together if there is seminars,neutral,few fishers who are known by the government,leaders are biased- fishers are not involved a lot in decision making
1142,Kenya,Coast,Msambweni,Mkwiro,2017-02-20,Maureen Shikami,mcmkr039,yes,because being a member of the committee its easier to for me to table my issues and the for the community at large to management leaders,sometimes the dates of the meetings collide with your personal issues,neutral,yes,stopping those who spoil the ocean and the closed areas are holding fish for sometime,fisheries arresting those who break the rules and using illegal gears then letting them scot free,neutral,all the fishers because there is gears from the county government,illegal fishers when found they will be arrested and jailed
12,Kenya,Coast,Msambweni,Mkwiro,2017-02-20,Maureen Otieno,mcmkr040,yes,there are a lot of benefits to me according to good fish catch,looking for other fishing grounds,neutral,yes,there big benefits to fishers and the government,not adhering to rules and regulations,good,fishers cause there is good catch,fish monger cause when there is a lot of fish they lack market
378,Kenya,Coast,Msambweni,Mkwiro,2017-02-20,Maureen Otieno,mcmkr041,no,NA,NA,very_bad,no,there is none because there is worse management,restricted fishing grounds,bad,no idea since she works in the dispensary,don't know cause she is not involved in fishing issues
836,Kenya,Coast,Msambweni,Mkwiro,2017-02-20,Maureen Otieno,mcmkr042,yes,improved fishing gears for fishers,people bribing to be allowed to use illegal gears,neutral,yes,more fish and improved corals,no negative impacts,good,fishers- good income from fish,fishers- restricted fishing areas
936,Kenya,Coast,Msambweni,Mkwiro,2017-02-20,Collins Katana,mcmkr043,no,NA,NA,NA,no,NA,NA,NA,fishers because all the benefits from the ocean are theres,none
975,Kenya,Coast,Msambweni,Mkwiro,2017-02-20,Collins Katana,mcmkr044,no,NA,NA,NA,no,NA,NA,NA,the fishers because they are near the resources,none
1225,Kenya,Coast,Msambweni,Mkwiro,2017-02-20,Collins Katana,mcmkr045,no,NA,NA,NA,no,NA,NA,NA,the locals because they are the direct beneficiaries of the resources,none
1105,Kenya,Coast,Msambweni,Mkwiro,2017-02-20,Mohamed Hamisi,mcmkr046,no,none,life situation is becoming more tough,bad,yes,none,things are becoming more tough because fish is not available like before,bad,rich middle men are buying fish at an exploitative price and sell them later at an exorbitant prices,none
1942,Kenya,Coast,Msambweni,Mkwiro,2017-02-20,Mohamed Hamis,mcmkr047,yes,"good income, a lot of fish and my environment is good",none,good,yes,a lot of income from the ocean and there is no destroying of environment,others don't fish because they don't have proper documentations,good,the community has gotten good outcome from the management,those who don't have proper documentation can fish
15,Kenya,Coast,Msambweni,Mkwiro,2017-02-20,Mohamed Hamisi,mcmkr048,no,i get good income from the fishers which enables me to upkeep my life,none,neutral,no,NA,NA,neutral,rich middle men because they sell fish at an exorbitant price,fish mongers cause we use a lot of money to preserve fish
2111,Kenya,Coast,Msambweni,Mwaembe,2017-02-24,Maureen Shikami,Mcmmwb001,no,NA,NA,NA,no,closed areas was put and we experience a lot of fish some time,there those who steal fish from the closed areas at night and in the after noon the other fishers are getting less catch,neutral,all those who depend on the ocean to get income,those who are not involved in community decision making
1974,Kenya,Coast,Msambweni,Mwaembe,2017-02-24,Maureen Shikami,mcmmwb002,yes,when they put up the closed areas it helped even us fish mongers used to get a lot of fish,a lot of vehicles pass us so that they can talk with the leaders and they benefit from the money they are given,neutral,yes,they don't allow turtles to be fished and the closed areas help to breed fish,people pollute the ocean yet there is management,neutral,fishers whom its easier for them to meet with the management leaders,fish monger who depend on the fishers and sometimes the fishers don't even get a catch and we end up selling nothing
1887,Kenya,Coast,Msambweni,Mkwiro,2017-02-24,Mohamed Hamis,mcmmwb003,yes,i get good fish for my own consumption not the small sized fish,none,good,no,it has contributed to the increase in the amount of fish and the endangered species are now seen,fish stealing in the closed areas,good,the community gets good fish for food and and economy becoming good in the community,the community - sometime like this it is so tough because fish isn't in abundance
1964,Kenya,Coast,Msambweni,Mwaembe,2017-02-24,Mohamed Khamis,mcmmwb004,no,none,none,neutral,no,none,we don't believe them because of their false promises,bad,the Bmu management.they take money from fishers and how the money is used a mystery,none
1347,Kenya,Coast,Msambweni,Mwaembe,2017-02-24,Mohamed Hamisi,mcmmwb005,yes,none,fishing has gone down leading to tough living conditions,bad,yes,none,the management has led to reduction in the number of fish because of regular conflicts and they have failed to lead the fisher community,bad,the management is embezzling our funds which we contribute from each kilo we sell and we don't even benefit,fishers-we don't get anything from the beach up-to to the management
14,Kenya,Coast,Msambweni,Mwaembe,2017-02-24,Rodgers Charo,mcmmwb006,no,NA,NA,NA,no,NA,NA,NA,don't know,don't know
1837,Kenya,Coast,Msambweni,Mwaembe,2017-02-24,Rodgers Charo,mcmmwb007,no,we get fish with ease when we go to the beach even though not all are fishers,none,neutral,no,the management for sometimes helps when there is a problem and we use the boats free of charge,others fishers are complaining about the management,good,those who involves themselves in fishing,none
1168,Kenya,Coast,Msambweni,Mwaembe,2017-02-24,Karisa Iha,mcmmwb008,no,NA,NA,NA,no,NA,NA,NA,dont know,dont know
570,Kenya,Coast,Msambweni,Mwaembe,2017-02-24,Karisa Iha,mcmmwb009,no,NA,NA,NA,no,NA,NA,NA,the management leaders are the ones who are in fore front,fishers - they are exploited
1164,Kenya,Coast,Msambweni,Mwaembe,2017-02-24,Coast,mcmmwb010,no,NA,NA,NA,yes,none,the fishing grounds have become less,neutral,the fishers and their relatives,none
1196,Kenya,Coast,Msambweni,Mwaembe,2017-02-24,Collins Katana,mcmmwb011,no,NA,NA,NA,no,NA,NA,NA,fishers and their relatives because good catch benefit them,none
848,Kenya,Coast,Msambweni,Mwaembe,2017-02-24,Collins Katana,mcmmwb012,no,NA,NA,NA,no,NA,NA,NA,fishers and fish mongers because if income becomes good their families will be good,none
1283,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Collin Katana,mcmmwb013,no,NA,NA,NA,yes,no positive effects,fishers are restricted from fishing in certain grounds and are not informed about the meaning of the restriction,neutral,fishers and fish sellers because they are the direct beneficiaries,none
1065,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Collins Katana,mcmmwb014,no,NA,NA,NA,NA,NA,NA,NA,the fishers because when fish increase the income also increase,none
1219,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Collins Katana,mcmmwb015,NA,NA,NA,NA,no,NA,NA,NA,the fishers are the first ones to benefit with any development for the ocean then the other will follow,none
1380,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Maureen Shikami,mcmmwb016,no,NA,NA,NA,yes,its well elaborated,they choose whom they want for seminars,neutral,the leaders and their families,fishers like us who are not recognised
828,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Karisa Iha,mcmmwb022,no,NA,NA,NA,yes,it has brought employment to mwaembe village,none,neutral,community- the rules protect fish,fishers- other fishers are not able to follow the rules
444,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Mohamed Hamisi,mcmmwb017,no,tourism has become good to me and getting good fish for consumption,police to invade into our private parks,neutral,no,none,none,neutral,fishers are fishing without giving out any levy.,the community-life is is getting worse and fish is in scacity
2166,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Karisa Iha,mcmmwb018,yes,fish is sold in good prices,none,neutral,no,the closed area was already a source of tourist attraction but it collapsed,none,good,fish middlemen they sell fish at the price they want,fishers- they are exploited but the fish middlemen
1667,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Karisa Iha,mcmmwb019,no,NA,NA,NA,yes,none,the share were given out on the basis of whom do you know and it ended us breaking into the closed area so us to be able to compensate our lost money,neutral,the management leaders are the ones benefiting alot,fishers are the ones getting affected
750,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Karisa Iha,mcmmwb020,yes,they is cooperation between the community memebers,there is a lot of complains from the fishers being the Bmu chairman,good,yes,there is an increase in the number of fish because of the restricted areas,fishers feel that they are denied their fishing rights because of putting up closures,good,"the fishers- all goodies which belong to the fishers,when i find them i bring to them",the leaders- they forget about themselves and care for the others
1946,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Karisa Iha,mcmmwb021,yes,we help each other in every way even if i don't have money i can be lended,there is no transparency,good,yes,the closed areas helped us a lot. fish increased but when it opened because of conflicts and now we are experiencing a reduction on the number,the laws are set but most people are not adhering the rules including foreigners,bad,fish middlemen- they buy fish from fishers at an exploitative prices and later sell them at the prices they want,fishers- they use a lot of energy and there is nothing of importance they get
1357,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Karisa Iha,mcmmwb023,yes,none,they restrict us from getting fish there are places which they wont allow us to get fish,good,no,NA,NA,NA,the leaders- they are taken to seminars and all the tenders are taken by them,fishers- if he /she wont go daily she has to look for an alternative
2038,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Rodgers Charo,mcmmwb024,no,NA,NA,NA,no,when there is closed areas people get a lot of benefits through spill over and the invaders also get more fish,some conflicts between Bmu and fishers to open up the closed areas,good,not involved in issues concerning the ocean,don't know
2025,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Rodgers Charo,mcmmwb025,no,taking visitors to closed areas[tengefu],no threats,neutral,no,the community din't have the knowledge of the destructive gears but now they are aware,no negative impacts[maybe destructive gears],good,those who do fishing near the closure,fishers within
677,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Rodgers Charo,mcmmwb026,NA,maybe his husband,her husband is a fisher,neutral,no,my husband is one of them,none,neutral,don't know,don't know
1698,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Rodgers Charo,mcmmwb027,no,NA,NA,NA,no,NA,NA,NA,don't know,don't know
548,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Rodgers Charo,mcmmwb028,NA,none,it forces him to go fishing in areas where he is not used,bad,yes,none,some were depending on the ground which was closed,neutral,leaders most of the time they are not transparency,not told of meetings
993,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Mohamed Hamis,mcmmwb029,yes,the economy is good from the availability of fish,none,neutral,no,they care for the environment and its increase the number of fish and increase in income,corruption in the management leads to reducing fishing level and deterioration in development,neutral,leaders and fisheries- because they weigh fish and collecting levy for every kilo of which it helps them and the government,the community and fishers-the environment is not well looked and if the fish is not available then there is no benefit
1057,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Mohamed Hamisi,mcmmwb030,yes,i get good catch from the management,missing proper guidelines to sustain life,neutral,yes,none,life has become hard because there is no good catch,neutral,fishers- they get fish from the beach and sell them without incurring any cost,the middlemen- they are sold fish which they don't have any market value
487,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Maureen Shikami,mcmmwb031,yes,we follow closely to those who fish in those closed areas put up,"Bmus,we are getting it tough to to educate fishers who did not go to school on issues pertaining fishing",good,yes,they have tried educating the fishers twice a week but the fishers themselves are not following it up,fisheries have done nothing we don't even know them,good,those who avail themselves to meetings and adhering to what has been said,those who use the destructive gears and those who do not adhere to rules
180,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Maureen Shikami,mcmmwb032,yes,we are investing ksh 15 which we give as levy to bmu,when you go ask for that money may be you want to repair what you are told is no momey,neutral,yes,i have not seen any,they just pass by but putting up the conservation area has been a challenge to them,neutral,"the management,when big organisations come they are the ones who meet with them and they are given money and we are not even told about it",if you try talk to them it becomes an issue and you end up being hated
27,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Maureen Shikami,mcmmwb033,yes,if they put good rules and help the fishers with gears they will be getting good catch,none,neutral,no,don't know whether the community is benefiting,none,NA,fishers and fish traders if things go well,fishers and fish traders if there is no good planning
728,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Maureen Shikami,mcmmwb034,yes,fishing licence isn't expensive it costs ksh 100 for a whole year,lack of support from the community,good,yes,they want to bring back closed area[tengefu] so that they can conserve fish,they failed to protect the conservation area till it collapsed,good,"the fishing community, when they get a lot of fish its for their own benefit",the management want support from the community
1237,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Maureen Shikami,mcmmwb035,no,none,bad management,neutral,yes,fisheries bought nets to fishers,Bmu management is week and hey cant fight for the fishers and acquire good nets and freezers,good,none,none
259,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Mohamed Hamisi,mcmmwb036,no,NA,NA,NA,no,there is nothing more than the daily income,there is nothing in ocean even fish is not easy to find,bad,fish traders-they buy fish at a cheaper price from fishers and sell them at the price they want,fishers-they sell fish at a throw away price to fish traders and at the end of the day their lives remain pathetic
1230,Kenya,Coast,Msambweni,Mwaembe,2017-02-25,Mohamed Hamisi,mcmmwb037,no,NA,NA,NA,no,NA,NA,NA,fishers-they get fish and sell them and get good income,community- buying fish from fishers at a higher price
463,Kenya,Coast,Msambweni,Mwaembe,2017-02-27,Maureen Shikami,mcmmwb038,yes,they dont cause problems to fish traders like asking as for something like having licence,because there is no conservation the fishers are getting problems of getting less catch,good,no,NA,NA,NA,those who get invitation to Bmu meetings-they tend to know what affects the community,fish traders are not involved a lot in the meetings and decision making
1327,Kenya,Coast,Msambweni,Mwaembe,2017-02-27,Maureen Shikami,mcmmwb039,yes,they brought wired gated traps and every fisher got two of them,the management doesn't want to know where we sell our fish and there is no modern preservation methods,neutral,yes,the y bring the community together by having meetings oftenly,not coming together to start the conservation again,neutral,fishers who are the in fishers organisation when the donations come they know,the ring net fishers because when they are found they are punished
156,Kenya,Coast,Msambweni,Mwaembe,2017-02-27,Maureen Shikami,mcmmwb040,yes,when we were bought gated traps two for each fishers,people who use ring nets have a close relation with leaders and now the gated traps have no fishing,neutral,yes,they have erected a house in the landing site where fishers weigh their fish and relax,management have not been able to take measures on the ring net users,neutral,fishers and their families because when they get fish the family will eat well and children will go to school,old fishers like us there nothing like pension
1512,Kenya,Coast,Msambweni,Mwaembe,2017-02-27,Mohamed Hamisi,mcmmwb041,no,none,the economy is worsening to me i even lack cash to buy fish,bad,no,none,management don't even care for the community,very_bad,management collects money from fishers and sort their own problems,fish traders - we don't get any profit because there isn't good catch
802,Kenya,Coast,Msambweni,Mwaembe,2017-02-27,Mohamed Hamisi,mcmmwb042,yes,i get a small catch but when i sell i get good income,lack of fish from fishers has let life to get worse,neutral,yes,when there was the conservation there was good catch,worsening economy and the living standards worsening because there is no closed area,bad,fish traders get fish from fishers and they sell the fish at a higher price,the villagers-they don't get profit from the management other than fish for consumption
406,Kenya,Coast,Msambweni,Mwaembe,2017-02-27,Mohamed Hamisi,mcmmwb043,no,none,no money because their is no work,bad,no,NA,NA,NA,none,the whole community is affected. there is no money and no fish in the ocean and people are having a hard life
1660,Kenya,Coast,Msambweni,Mwaembe,2017-02-27,Karisa Iha,mcmmwb044,yes,benefiting with knowledge,fishers are still yet to benefited,good,yes,people were cooperative and they had shares,the Bmu leaders are not relating fairly to people,good,none,fishers and women who do fish trading don't get any income
269,Kenya,Coast,Msambweni,Mwaembe,2017-02-27,Collins Katana,mcmmwb045,no,NA,NA,NA,no,NA,NA,NA,the landing site leaders because they are in the fore front in the benefits from the oceans,none
898,Kenya,Coast,Msambweni,Mwaembe,2017-02-27,Collins Katana,mcmmwb046,no,NA,NA,NA,yes,none,the fishing community misses their income because too many rules,neutral,the fishers because they are the main character,the fishing community because when they follow the rules they wont get good income
364,Kenya,Coast,Msambweni,Mwaembe,2017-02-27,Collins Katana,mcmmwb047,no,NA,NA,NA,no,NA,NA,NA,fishers because are near the natural resources,none
1044,Kenya,Coast,Msambweni,Mwaembe,2017-02-28,Collins Katana,mcmmwb048,no,NA,NA,NA,no,NA,NA,NA,"fishers,because they go fishing daily","fishers -, if some areas will be closed then fishing grounds will be limited leading to fishers getting limited income"
1191,Kenya,Coast,Msambweni,Mwaembe,2017-02-28,Collins Katana,mcmmwb049,no,NA,NA,NA,no,NA,NA,NA,the fisher and the fish trader because they always on the shores,none
733,Kenya,Coast,Msambweni,Mwaembe,2017-02-28,Rodgers Charo,mcmmwb050,no,NA,NA,NA,no,NA,NA,NA,members -she is guiding us through management,none
1820,Kenya,Coast,Msambweni,Mwaembe,2017-02-28,Rodgers Charo,mcmmwb051,no,NA,NA,NA,no,NA,NA,NA,don't know,don't know
825,Kenya,Coast,Msambweni,Mwaembe,2017-02-28,Rodgers Charo,mcmmwb052,no,NA,NA,good,no,when nets were brought by the Bmu and each fishers got two,none,neutral,don't know,have not seen
322,Kenya,Coast,Msambweni,Mwaembe,2017-02-28,Rodgers Charo,mcmmwb053,no,NA,NA,NA,no,NA,NA,NA,don't know,don't know
1159,Kenya,Coast,Msambweni,Mwaembe,2017-02-28,Rodgers Charo,mcmmwb054,NA,none,the management embezzled their funds,NA,no,NA,NA,NA,maybe leaders they are not so wisely,none not heard anybody saying
385,Kenya,Coast,Msambweni,Mwaembe,2017-02-28,Rodgers Charo,mcmmwb055,yes,they have refused,they exploited us,bad,no,NA,NA,bad,don't know,other fishers
127,Kenya,Coast,Msambweni,Mwaembe,2017-02-28,Karisa Iha,mcmmwb056,no,NA,NA,NA,yes,there is no benefits we sell fish and there is nothing,our money is getting lost,bad,those who benefit are the management leaders,fishers for being exploited
1812,Kenya,Coast,Msambweni,Mwaembe,2017-02-28,Karisa Iha,mcmmwb057,yes,the catch has increased,no negative impacts,bad,yes,we have structure at the landing site where we can weigh our fish,ring net has not been restrict completely,good,none,the management does not want to take strict measures on ring nets users and we small scaled fishers are the receiving end
1796,Kenya,Coast,Msambweni,Mwaembe,2017-02-28,Karisa Iha,mcmmwb058,no,when i got lost in the ocean i will be looked for,funds are being misused and the corruption is wide spread,bad,no,NA,NA,NA,members- they tend to know everything,fishers- knows nothing
1885,Kenya,Coast,Msambweni,Mwaembe,2017-02-28,mMohamed Hamisi,mcmmwb059,no,NA,NA,neutral,no,NA,NA,very_bad,fishers-they get fish from the ocean without using a lot of energy or expenses,none
1789,Kenya,Coast,Msambweni,Mwaembe,2017-02-28,Mohamed Hamisi,mcmmwb060,yes,good income from fishing was before not now,the economy is worsening am not even able to build a house,bad,no,NA,NA,neutral,dont know,dont know
1083,Kenya,Coast,Msambweni,Mwaembe,2017-02-28,Maureen Shikami,mcmmwb061,yes,they bought for us wired gated traps and each fisher got two them,the gated traps are heavy and they rust,good,yes,at the landing site they have built a house for weighing fish and selling,the management should help us bring back a conservation for the community,good,fisher according to the sponsorship of gated traps,those who break the laws e.g the illegal fishers
1389,Kenya,Coast,Msambweni,Mwaembe,2017-02-28,Maureen Shikami,mcmmwb062,yes,fishers benefited sometimes back when there was a lot of fish which was due to the tengefu,they have done nothing for us to get modern fish in gears,good,yes,they don't listen to fishers when they go to the landing site,"if they are given complaints, the fisheries department when they leave they leave everything",good,if you tell then that corals are broken they don't follow up,fishers who use gated traps sometimes they don't fish
155,Kenya,Coast,Msambweni,Mwaembe,2017-02-28,Maureen Shikami,mcmmwb062,yes,most of the time when they conduct meetings they are keen with people opinions,fishers invaded the closed area and the management has failed to close it up again,neutral,yes,if visitors come were not told,"they brought wired gated traps they rusted, they would have given us the money to go and make one",neutral,fishers who are members of the Bmu most of the time they get news at first hand,those who don't involve themselves in marine resources
2127,Kenya,Coast,Kilifi,Kanamai,2017-01-21,Karisa Iha,mcmkan001,no,NA,NA,NA,no,NA,NA,NA,none,the fisher because the number of fish is going down
70,Kenya,Coast,Kilifi,Kanamai,2017-01-21,Collins Katana,mcmkan002,no,NA,NA,NA,no,NA,NA,NA,the fishers if the number of fish increase then its them getting good catch and good income,none
1270,Kenya,Coast,Kilifi,Kanamai,2017-01-21,Collins katana,mcmkan003,no,NA,NA,NA,no,NA,NA,NA,NA,NA
1061,Kenya,Coast,Kilifi,Kanamai,2017-01-21,Maureen Shikami,mcmkan006,yes,most of the time they have helped in by bringing fishing gears at a cheaper price so that everyone goes fishing,they are not fair in distributing those gears-those who are known are the ones using the gears,neutral,yes,because of the management there is peace and good guidelines of the work,because of not adhering to rules people are polluting the ocean,neutral,it brings guidance to fishers,fishers who do not follow rules and regulations
726,Kenya,Coast,Kilifi,Kanamai,2017-01-21,Mohamed Khamis,mcmkan007,no,the income has increased by a small margin and i can maintain my family,none,neutral,no,NA,NA,good,fish dealers-they buy fish at a very exploitative price and later sell them at a price known by them,fishers- brings a lot of fish but his/her income is less
1399,Kenya,Coast,Kilifi,Kanamai,2017-01-21,Mohamed Hamisi,mcmkan008,no,NA,NA,good,no,good income which brings food to the house and we get money to take our children to school,none,neutral,fishers- there is a lot of income,none
260,Kenya,Coast,Kilifi,Kanamai,2017-01-21,Karisa Iha,mcmkan009,no,NA,NA,NA,no,NA,NA,NA,no idea,no idea
1258,Kenya,Coast,Kilifi,Kanamai,2017-01-21,Karisa Iha,mcmkan010,no,NA,NA,NA,no,NA,NA,NA,not an idea if there is any type of management,none
2049,Kenya,Coast,Kilifi,Kanamai,2017-01-21,Karisa Iha,mcmkan011,no,NA,NA,NA,no,the conservation has led to the increase in the number of fish,favoritism and selfish ness,bad,those who are in the fore front are the ones benefiting because of their selfish ness,fishers are the ones affected negatively because their isn't fairness
573,Kenya,Coast,Kilifi,Kanamai,2017-01-21,Karisa Iha,mcmkan012,no,NA,NA,NA,no,NA,NA,NA,the management leaders are the ones getting almost all the benefits because they are in the fore front,none
1827,Kenya,Coast,Kilifi,Kanamai,2017-01-21,Mohamed Hamisi,mcmkan013,no,i get fish from fishers,none,neutral,no,people are getting good catch from the ocean,none,neutral,fishers-they get good income from the catches,none
138,Kenya,Coast,Kilifi,Kanamai,2017-01-21,Mohamed Hamisi,mcmkan014,no,brought together by the bmu,miss management of funds,bad,no,sponsorship from non governmental organisation i.e boats and nets,not getting benefits from non governmental organisation only the management is benefiting,good,fishers- they get good income from the ocean due to good management,fishers- always given fake promises
1587,Kenya,Coast,Kilifi,Kanamai,2017-01-21,Maureen Shikami,mcmkan015,yes,because of the conservation we do not miss fish,the conservation rules are not followed people go there at night,bad,yes,people do not break the rules often because they know they will be prosecuted,those who break the rules mostly are the relatives of the leaders,bad,those with money or relations with the leaders- if there is a sponsored boat they tend to use them,people who are not known like me
817,Kenya,Coast,Kilifi,Kanamai,2017-01-21,Maureen Shikami,mcmkan016,yes,i have no problems if i got a licence,people fish in the conservation areas but people like us who are just ordinary people we will be prosecuted,bad,yes,the leaders help in fighting illegal fishing,you are not allowed to fish in these territories from other other Bmus,bad,the leaders and those who are very close to them,if you don't fish around this area and when you fish they will harass you
2089,Kenya,Coast,Kilifi,Kanamai,2017-02-21,Collins Katana,mcmkan017,no,NA,NA,NA,no,NA,NA,NA,none,none because the management is targeting improving fish
474,Kenya,Coast,Kilifi,Kanamai,2017-01-21,Karisa Iha,mcmkan018,no,NA,NA,NA,no,NA,NA,NA,none,none
1596,Kenya,Coast,Kilifi,Kanamai,2017-01-21,Karisa Iha,mcmkan019,yes,illegal fishing has gone down at bigger rate,the decisions made are not put into use thus worsening the situation,bad,yes,increase in income,corruption has risen in the management,neutral,frishers,fish traders
2082,Kenya,Coast,Kilifi,Kanamai,2017-01-23,Kosgei Jesse,mcmkan021,yes,"restricting fishing of important fish species,the conservation increase fish and big fish are found now",none,very_good,yes,"conservation of fish, the beneficiary fish cared for and they usually bring the others",people don't want to adhere to rules,good,fishers- have built a house and have schooled my children,those who break the law
134,Kenya,Coast,Kilifi,Kanamai,2017-01-23,Kosgei Jesse,mcmkan022,no,caring for the conservation area has led to have big fish,none,good,yes,not catching small fish and increase in catch,none,good,Bmu- and their close associate,none
428,Kenya,Coast,Kilifi,Kanamai,2017-01-23,Collins Katana,mcmkan023,no,NA,NA,NA,no,NA,NA,NA,fishers and fish traders because when fish increase in numbers their income also tends to increase,none
708,Kenya,Coast,Kilifi,Kanamai,2017-01-23,Mohamed Hamisi,mcmkan024,no,i get fish for daily consumption,none,neutral,no,sponsorship from the government i.e freezers and life jackets,none,neutral,"fish traders,they tend to buy fish at cheaper prices and later in their markets they sell the same fish at a higher price",none
498,Kenya,Coast,Kilifi,Kanamai,2017-01-23,Mohamed Hamisi,mcmkan025,no,good catch and has led me to build my house,none,neutral,no,NA,NA,NA,"fishers, they get good catch and it enables them to plan their life well",none
1500,Kenya,Coast,Kilifi,Kanamai,2017-01-23,Mohamed Hamisi,mcmkan026,no,NA,NA,neutral,yes,sponsorship from fisheries,none,neutral,fish traders buy fish at a cheaper price and sell them at higher prices,fishers when we get our catch and after deducting the logistics we end up with nothing
